
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]
    10.00   -20.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00   454.61     0.00
    10.00   -25.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00   454.61     0.00
    10.00   -30.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00   454.61     0.00
    10.00   -35.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00   454.61     0.00
    10.00   -40.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00   454.61     0.00
    15.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61     0.00
    15.00     5.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61     0.00
    15.00    10.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61   454.61
    15.00    15.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61  1154.61
    15.00    20.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61  1854.61
    15.00    25.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61  2554.61
    15.00    30.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61  3254.61
    15.00    35.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61  3954.61
    15.00    40.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61  4654.61
    15.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61     0.00
    15.00    -5.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61     0.00
    15.00   -10.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61     0.00
    15.00   -15.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61     0.00
    15.00   -20.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61     0.00
    15.00   -25.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61     0.00
    15.00   -30.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61     0.00
    15.00   -35.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61     0.00
    15.00   -40.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1154.61     0.00
    20.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61     0.00
    20.00     5.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61     0.00
    20.00    10.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61   454.61
    20.00    15.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61  1154.61
    20.00    20.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61  1854.61
    20.00    25.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61  2554.61
    20.00    30.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61  3254.61
    20.00    35.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61  3954.61
    20.00    40.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61  4654.61
    20.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61     0.00
    20.00    -5.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61     0.00
    20.00   -10.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61     0.00
    20.00   -15.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61     0.00
    20.00   -20.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61     0.00
    20.00   -25.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61     0.00
    20.00   -30.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61     0.00
    20.00   -35.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61     0.00
    20.00   -40.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  1854.61     0.00
    25.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61     0.00
    25.00     5.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61     0.00
    25.00    10.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61   454.61
    25.00    15.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61  1154.61
    25.00    20.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61  1854.61
    25.00    25.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61  2554.61
    25.00    30.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61  3254.61
    25.00    35.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61  3954.61
    25.00    40.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61  4654.61
    25.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61     0.00
    25.00    -5.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61     0.00
    25.00   -10.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61     0.00
    25.00   -15.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61     0.00
    25.00   -20.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61     0.00
    25.00   -25.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61     0.00
    25.00   -30.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61     0.00
    25.00   -35.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61     0.00
    25.00   -40.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  2554.61     0.00
    30.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61     0.00
    30.00     5.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61     0.00
    30.00    10.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61   454.61
    30.00    15.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61  1154.61
    30.00    20.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61  1854.61
    30.00    25.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61  2554.61
    30.00    30.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61  3254.61
    30.00    35.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61  3954.61
    30.00    40.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61  4654.61
    30.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61     0.00
    30.00    -5.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61     0.00
    30.00   -10.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61     0.00
    30.00   -15.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61     0.00
    30.00   -20.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61     0.00
    30.00   -25.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61     0.00
    30.00   -30.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61     0.00
    30.00   -35.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61     0.00
    30.00   -40.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3254.61     0.00
    35.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3954.61     0.00
    35.00     5.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3954.61     0.00
    35.00    10.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3954.61   454.61
    35.00    15.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3954.61  1154.61
    35.00    20.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3954.61  1854.61
    35.00    25.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3954.61  2554.61
    35.00    30.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3954.61  3254.61
    35.00    35.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3954.61  3954.61
    35.00    40.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3954.61  4654.61
    35.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3954.61     0.00
    35.00    -5.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00  3954.61     0.00
