
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           GnisFront                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]
    10.00   -20.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  2833.88     0.00
    10.00   -25.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  2833.88     0.00
    10.00   -30.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  2833.88     0.00
    10.00   -35.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  2833.88     0.00
    10.00   -40.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  2833.88     0.00
    15.00     0.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88  1433.88
    15.00     5.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88  2133.88
    15.00    10.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88  2833.88
    15.00    15.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88  3533.88
    15.00    20.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88  4233.88
    15.00    25.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88  4933.88
    15.00    30.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88  5633.88
    15.00    35.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88  6333.88
    15.00    40.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88  7033.88
    15.00     0.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88  1433.88
    15.00    -5.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88   733.88
    15.00   -10.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88    33.88
    15.00   -15.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88     0.00
    15.00   -20.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88     0.00
    15.00   -25.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88     0.00
    15.00   -30.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88     0.00
    15.00   -35.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88     0.00
    15.00   -40.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  3533.88     0.00
    20.00     0.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88  1433.88
    20.00     5.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88  2133.88
    20.00    10.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88  2833.88
    20.00    15.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88  3533.88
    20.00    20.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88  4233.88
    20.00    25.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88  4933.88
    20.00    30.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88  5633.88
    20.00    35.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88  6333.88
    20.00    40.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88  7033.88
    20.00     0.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88  1433.88
    20.00    -5.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88   733.88
    20.00   -10.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88    33.88
    20.00   -15.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88     0.00
    20.00   -20.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88     0.00
    20.00   -25.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88     0.00
    20.00   -30.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88     0.00
    20.00   -35.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88     0.00
    20.00   -40.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4233.88     0.00
    25.00     0.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88  1433.88
    25.00     5.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88  2133.88
    25.00    10.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88  2833.88
    25.00    15.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88  3533.88
    25.00    20.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88  4233.88
    25.00    25.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88  4933.88
    25.00    30.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88  5633.88
    25.00    35.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88  6333.88
    25.00    40.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88  7033.88
    25.00     0.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88  1433.88
    25.00    -5.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88   733.88
    25.00   -10.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88    33.88
    25.00   -15.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88     0.00
    25.00   -20.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88     0.00
    25.00   -25.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88     0.00
    25.00   -30.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88     0.00
    25.00   -35.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88     0.00
    25.00   -40.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4933.88     0.00
    30.00     0.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88  1433.88
    30.00     5.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88  2133.88
    30.00    10.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88  2833.88
    30.00    15.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88  3533.88
    30.00    20.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88  4233.88
    30.00    25.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88  4933.88
    30.00    30.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88  5633.88
    30.00    35.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88  6333.88
    30.00    40.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88  7033.88
    30.00     0.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88  1433.88
    30.00    -5.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88   733.88
    30.00   -10.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88    33.88
    30.00   -15.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88     0.00
    30.00   -20.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88     0.00
    30.00   -25.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88     0.00
    30.00   -30.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88     0.00
    30.00   -35.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88     0.00
    30.00   -40.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5633.88     0.00
    35.00     0.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88  1433.88
    35.00     5.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88  2133.88
    35.00    10.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88  2833.88
    35.00    15.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88  3533.88
    35.00    20.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88  4233.88
    35.00    25.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88  4933.88
    35.00    30.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88  5633.88
    35.00    35.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88  6333.88
    35.00    40.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88  7033.88
    35.00     0.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88  1433.88
    35.00    -5.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88   733.88
    35.00   -10.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88    33.88
    35.00   -15.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88     0.00
    35.00   -20.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88     0.00
    35.00   -25.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88     0.00
    35.00   -30.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88     0.00
    35.00   -35.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88     0.00
    35.00   -40.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  6333.88     0.00
    40.00     0.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  7033.88  1433.88
    40.00     5.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  7033.88  2133.88
    40.00    10.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  7033.88  2833.88
    40.00    15.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  7033.88  3533.88
    40.00    20.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  7033.88  4233.88
    40.00    25.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  7033.88  4933.88
    40.00    30.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  7033.88  5633.88
    40.00    35.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  7033.88  6333.88
    40.00    40.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  7033.88  7033.88
    40.00     0.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  7033.88  1433.88
